,mcc,aucroc,precision,recall,f1
count,161.0,161.0,161.0,161.0,161.0
mean,0.04552249317458085,0.5140252857691945,0.1640427219842504,0.17403513567179568,0.12812950842647852
std,0.18352536386196225,0.10342189938340945,0.2514728106320974,0.19183735746791358,0.14989835696957993
min,-0.3076923076923077,0.27568134171907754,0.0,0.0,0.0
25%,-0.08152863000460182,0.45320197044334976,0.0,0.0,0.0
50%,-0.01416428463593022,0.49691358024691357,0.046511627906976744,0.1111111111111111,0.06896551724137931
75%,0.15774833043205552,0.5902940549754954,0.21428571428571427,0.2857142857142857,0.21276595744680848
max,0.6110144430816993,0.8372549019607843,1.0,0.8125,0.6666666666666665
stderr,0.014463824906842983,0.008150787513707822,0.019818833894535072,0.015118901772587295,0.011813645500586936
