,mcc,aucroc,precision,recall,f1
count,165.0,165.0,165.0,165.0,165.0
mean,0.00238250111934508,0.49965474327506665,0.08161398794271164,0.07609751598069998,0.06359179274021862
std,0.10068752991625085,0.04909773194540087,0.13894738189662129,0.14003159160242215,0.10519292758499119
min,-0.3225911354182047,0.35365853658536583,0.0,0.0,0.0
25%,-0.049088926523922646,0.4786729857819905,0.0,0.0,0.0
50%,-0.021162516422251382,0.49390243902439024,0.0,0.0,0.0
75%,0.011288091024643274,0.506386292834891,0.13333333333333333,0.09523809523809523,0.1
max,0.44061565662462004,0.7617647058823529,0.5384615384615384,0.72,0.5384615384615384
stderr,0.007838513573003305,0.003822253248022005,0.010817039010052758,0.010901444621174324,0.008189258305817518
