,mcc,aucroc,precision,recall,f1
count,169.0,169.0,169.0,169.0,169.0
mean,0.018413305752062088,0.5060829349158463,0.11252493944801636,0.03382542459909066,0.04642073872041942
std,0.12986344399882419,0.04732602511503986,0.24306028142984873,0.09271483819381049,0.11368462578483945
min,-0.24320584565786743,0.40816326530612246,0.0,0.0,0.0
25%,-0.03743657374374646,0.4899909008189263,0.0,0.0,0.0
50%,-0.01898506041662305,0.4954545454545455,0.0,0.0,0.0
75%,0.0,0.5,0.047619047619047616,0.02702702702702703,0.05128205128205128
max,0.8997325805913333,0.9393939393939394,1.0,0.8888888888888888,0.9142857142857143
stderr,0.009989495692217245,0.0036404634703876815,0.01869694472537298,0.0071319106302931146,0.00874497121421842
